split,seq_id,frame_idx,active_points_forward_sensor,road_count,marking_count,other_count,ignored_count,raw_8_count,raw_9_count,raw_10_count
training,003,54,66715,28983,626,36974,132,562,0,64
training,003,55,70156,29055,627,40349,125,552,0,75
training,003,56,68361,29003,642,38667,49,558,0,84
training,003,57,67866,28920,579,38335,32,469,0,110
training,003,58,70258,28806,513,40925,14,394,0,119
training,003,59,68317,28666,538,39099,14,387,0,151
training,003,60,67628,28622,515,38480,11,389,0,126
training,003,61,70338,28654,463,41206,15,394,0,69
training,003,62,68339,28532,480,39303,24,394,0,86
training,003,63,67839,28105,521,39204,9,422,0,99
training,003,64,70119,27835,488,41786,10,396,0,92
training,003,65,68051,27800,553,39680,18,417,0,136
training,003,66,67244,27684,574,38968,18,399,0,175
training,003,67,69496,27425,628,41407,36,464,0,164
training,003,68,67453,26859,605,39957,32,525,0,80
training,003,69,61950,26252,658,34929,111,566,0,92
training,003,70,61018,25894,667,34345,112,556,0,111
training,003,71,58229,26813,691,30401,324,586,0,105
training,003,72,60097,27070,742,31910,375,615,0,127
training,003,73,60292,27007,806,32190,289,579,0,227
training,003,74,61518,26811,675,33961,71,526,0,149
training,003,75,64824,27051,549,37184,40,488,0,61
training,003,76,65339,27686,572,37000,81,477,0,95
training,003,77,65833,28437,515,36843,38,452,0,63
training,003,78,68178,28654,569,38935,20,447,0,122
training,003,79,68178,28635,585,38936,22,445,0,140
training,005,0,57441,18145,1224,37536,536,215,80,929
training,005,1,56523,18955,1421,35617,530,265,85,1071
training,005,2,57193,18903,2254,35556,480,315,92,1847
training,005,3,58575,20470,829,36682,594,373,85,371
training,005,4,60556,20628,719,38610,599,402,98,219
training,005,5,59007,21318,692,36461,536,376,84,232
training,005,6,59332,21565,610,36555,602,323,73,214
training,005,7,58759,21238,681,36273,567,372,66,243
training,005,8,60404,21118,645,38093,548,380,59,206
training,005,9,58812,21111,699,36401,601,434,49,216
training,005,10,59009,21202,735,36404,668,452,45,238
training,005,11,58609,20984,663,36276,686,423,31,209
training,005,12,59740,20336,664,38150,590,429,28,207
training,005,13,58062,19844,702,36845,671,466,16,220
training,005,14,58305,19739,699,37193,674,477,5,217
training,005,15,58061,19328,767,37231,735,539,0,228
training,005,16,59604,18809,766,39364,665,527,0,239
training,005,17,58167,18437,839,38276,615,613,0,226
training,005,18,58534,18247,849,38865,573,607,0,242
training,005,19,58286,17555,1007,39167,557,781,0,226
training,005,20,60353,17051,1215,41554,533,1011,0,204
training,005,21,58938,16031,1724,40627,556,1478,0,246
training,005,22,59122,16783,634,41213,492,394,0,240
training,005,23,58807,16629,348,41321,509,109,0,239
training,005,24,60784,16325,401,43550,508,129,0,272
training,005,25,59448,16176,377,42336,559,159,0,218
training,005,26,59915,16318,382,42697,518,142,0,240
training,005,27,59819,16857,376,42049,537,128,0,248
training,005,28,62213,17988,361,43301,563,93,0,268
training,005,29,61066,18882,412,41183,589,120,0,292
training,005,30,61146,19351,549,40568,678,172,0,377
training,005,31,63321,19127,586,42873,735,212,0,374
training,005,32,61231,17876,557,42082,716,170,0,387
training,005,33,61047,16301,583,43488,675,117,0,466
training,005,34,60740,15499,634,44060,547,131,0,503
training,005,35,63276,16191,684,45883,518,160,0,524
training,005,36,61719,17400,696,43096,527,204,0,492
training,005,37,61888,18669,734,42002,483,219,0,515
training,005,38,62190,19573,845,41301,471,249,0,596
training,005,39,64038,19459,961,43163,455,236,0,725
training,005,40,62393,18248,906,42818,421,171,0,735
training,005,41,62229,15943,1102,44707,477,224,0,878
training,005,42,63221,14262,1167,47387,405,211,0,956
training,005,43,61630,13393,1614,46219,404,166,0,1448
training,005,44,61996,14131,1430,46009,426,190,0,1240
training,005,45,63575,15411,575,47164,425,251,0,324
training,005,46,61601,15338,581,45318,364,229,0,352
training,005,47,61753,15206,435,45743,369,138,0,297
training,005,48,63060,14294,471,47867,428,120,0,351
training,005,49,61122,13180,639,46898,405,146,0,493
training,005,50,61153,12521,835,47441,356,201,0,634
training,005,51,62552,12803,1455,47840,454,229,0,1226
training,005,52,58401,14245,406,43316,434,236,0,170
training,005,53,58730,14742,133,43362,493,133,0,0
training,005,54,61261,14569,147,46077,468,143,0,4
training,005,55,60190,14273,211,45234,472,209,0,2
training,005,56,60802,14135,225,45947,495,217,0,8
training,005,57,62323,14291,159,47340,533,151,0,8
training,005,58,60544,14526,137,45343,538,133,0,4
training,005,59,60283,14611,153,45012,507,153,0,0
training,005,60,61830,14700,175,46357,598,173,0,2
training,005,61,59660,14624,226,44203,607,226,0,0
training,005,62,59412,14495,257,44021,639,253,0,4
training,005,63,59607,14459,117,44261,770,117,0,0
training,005,64,60008,14254,144,44822,788,134,0,10
training,005,65,61703,14018,206,46679,800,202,0,4
training,005,66,60078,13935,227,45181,735,221,0,6
training,005,67,59812,13893,147,45074,698,135,0,12
training,005,68,61259,13635,129,46801,694,119,0,10
training,005,69,59753,13222,212,45582,737,200,0,12
training,005,70,60099,12900,204,46237,758,194,0,10
training,005,71,61502,12821,108,47739,834,100,0,8
training,005,72,60254,12959,104,46374,817,99,0,5
training,005,73,60270,13108,152,46203,807,143,0,9
training,005,74,61692,13569,180,47033,910,172,0,8
training,005,75,60659,14408,190,45102,959,180,0,10
training,005,76,60564,15411,144,44000,1009,137,0,7
training,005,77,62226,16214,70,44938,1004,61,0,9
training,005,78,60949,16846,79,43081,943,67,0,12
training,005,79,60949,16846,77,43073,953,65,0,12
training,011,0,52243,18823,2479,30882,59,748,208,1523
training,011,1,52243,18784,2456,30947,56,753,195,1508
training,011,2,51760,19056,2711,29932,61,838,253,1620
training,011,3,51922,19370,2935,29553,64,907,277,1751
training,011,4,52502,19729,3313,29403,57,920,360,2033
training,011,5,52494,19910,3518,28996,70,815,424,2279
training,011,6,53127,20057,3592,29409,69,677,490,2425
training,011,7,52330,19847,3889,28503,91,680,565,2644
training,011,8,52865,19839,4180,28777,69,667,779,2734
training,011,9,53874,20585,3816,29408,65,561,963,2292
training,011,10,53573,20508,4295,28723,47,421,1265,2609
training,011,11,53440,19918,5377,28097,48,189,2058,3130
training,011,12,54737,20870,5259,28550,58,21,1222,4016
training,011,13,53252,21240,5154,26810,48,27,11,5116
training,011,14,52665,21020,6404,25189,52,28,9,6367
training,011,15,53144,19945,8195,24946,58,31,17,8147
training,011,16,52476,17380,11336,23693,67,35,24,11277
training,011,17,52649,19329,9706,23545,69,34,11,9661
training,011,18,53231,19504,9530,24143,54,43,21,9466
training,011,19,52895,19883,9003,23976,33,45,1,8957
training,011,20,52799,20248,8368,24142,41,48,10,8310
training,011,21,52806,20608,7637,24523,38,44,0,7593
training,011,22,52508,21382,6775,24318,33,53,0,6722
training,011,23,52547,22457,5830,24226,34,62,0,5768
training,011,24,53309,26743,1909,24621,36,67,0,1842
training,011,25,51786,27161,943,23645,37,82,0,861
training,011,26,51840,27613,1058,23124,45,85,0,973
training,011,27,52882,28016,1133,23687,46,94,0,1039
training,011,28,53120,28391,1255,23441,33,97,0,1158
training,011,29,53234,28098,1279,23813,44,111,0,1168
training,011,30,53815,27465,1463,24848,39,114,0,1349
training,011,31,53174,26872,1546,24705,51,126,0,1420
training,011,32,52971,26200,1730,24983,58,131,0,1599
training,011,33,53733,25726,1867,26076,64,131,0,1736
training,011,34,53296,25288,1990,25967,51,148,0,1842
training,011,35,53442,25057,2259,26086,40,155,0,2104
training,011,36,54193,24258,2589,27277,69,163,0,2426
training,011,37,54004,21263,3782,28913,46,202,0,3580
training,011,38,53702,18867,4550,30220,65,215,0,4335
training,011,39,52761,16665,5376,30683,37,266,0,5110
training,011,40,52992,15030,6098,31792,72,343,0,5755
training,011,41,54521,11698,8782,34002,39,432,0,8350
training,011,42,53742,13760,6234,33703,45,562,0,5672
training,011,43,53310,13797,5778,33701,34,592,0,5186
training,011,44,54068,13709,4957,35369,33,626,0,4331
training,011,45,52027,13435,4212,34338,42,658,0,3554
training,011,46,51049,12989,4032,34002,26,759,0,3273
training,011,47,51385,15831,997,34506,51,862,0,135
training,011,48,51339,16144,1067,34090,38,934,0,133
training,011,49,51897,16596,1182,34058,61,1022,0,160
training,011,50,52567,16893,1190,34423,61,969,0,221
training,011,51,51967,16582,1223,34113,49,881,0,342
training,011,52,51294,16426,955,33866,47,868,0,87
training,011,53,51688,16025,877,34740,46,838,0,39
training,011,54,50553,15545,912,34035,61,870,0,42
training,011,55,50447,15259,937,34206,45,879,0,58
training,011,56,51172,15383,881,34850,58,794,0,87
training,011,57,51553,15855,787,34862,49,787,0,0
training,011,58,52470,16283,837,35297,53,837,0,0
training,011,59,53647,16392,843,36363,49,843,0,0
training,011,60,53478,16162,882,36377,57,882,0,0
training,011,61,53527,16007,852,36598,70,852,0,0
training,011,62,55147,16144,747,38141,115,747,0,0
training,011,63,55368,16394,752,38033,189,752,0,0
training,011,64,55312,16446,780,37866,220,780,0,0
training,011,65,55266,16086,803,38072,305,803,0,0
training,011,66,53539,15613,866,36992,68,866,0,0
training,011,67,53665,15420,808,37373,64,808,0,0
training,011,68,54082,15419,764,37833,66,764,0,0
training,011,69,54267,16130,886,37183,68,886,0,0
training,011,70,56103,16756,972,38306,69,972,0,0
training,011,71,56549,17380,1032,38075,62,1032,0,0
training,011,72,56608,17871,989,37699,49,989,0,0
training,011,73,57560,17816,920,38764,60,920,0,0
training,011,74,56249,17300,898,38003,48,898,0,0
training,011,75,55474,16573,891,37962,48,891,0,0
training,011,76,56139,16026,942,39098,73,942,0,0
training,011,77,55432,16042,904,38437,49,904,0,0
training,011,78,55293,16549,812,37879,53,812,0,0
training,011,79,55293,16572,831,37837,53,831,0,0
training,016,0,56006,26093,989,28757,167,918,0,71
training,016,1,55186,26053,1062,27983,88,966,0,96
training,016,2,54704,26202,1138,27292,72,1032,0,106
training,016,3,55698,26526,1468,27632,72,1315,0,153
training,016,4,55125,27200,1559,26280,86,1320,0,239
training,016,5,55110,27776,1502,25742,90,1174,0,328
training,016,6,55735,28206,1481,25937,111,1144,0,337
training,016,7,55297,28092,1646,25476,83,1290,0,356
training,016,8,54963,27725,1887,25269,82,1449,0,438
training,016,9,55174,26764,2260,26063,87,1692,0,568
training,016,10,54521,25894,2605,25942,80,1855,0,750
training,016,11,54451,26524,2107,25726,94,1984,0,123
training,016,12,56091,27721,1972,26319,79,1871,0,101
training,016,13,56268,29408,1822,24957,81,1759,0,63
training,016,14,56117,28760,1799,25477,81,1743,0,56
training,016,15,54854,27847,1843,25098,66,1785,0,58
training,016,16,54145,27498,1787,24795,65,1726,0,61
training,016,17,54880,27507,1960,25340,73,1884,0,76
training,016,18,54671,27515,2117,24991,48,2032,0,85
training,016,19,55058,27807,2090,25089,72,2012,0,78
training,016,20,56000,27946,1868,26125,61,1844,0,24
training,016,21,55435,28000,1747,25625,63,1732,0,15
training,016,22,54790,27919,1757,25060,54,1747,0,10
training,016,23,55199,27653,1770,25723,53,1757,0,13
training,016,24,54706,27445,1778,25433,50,1766,0,12
training,016,25,54389,27396,1822,25133,38,1802,0,20
training,016,26,54349,27276,2011,25008,54,1957,0,54
training,016,27,53904,27180,2086,24586,52,1986,0,100
training,016,28,53377,27251,1940,24113,73,1785,0,155
training,016,29,53744,27305,1780,24605,54,1655,0,125
training,016,30,53389,27139,1946,24246,58,1740,0,206
training,016,31,53701,27066,1974,24607,54,1783,0,191
training,016,32,54424,26970,1955,25447,52,1736,0,219
training,016,33,53738,27055,1945,24675,63,1720,0,225
training,016,34,53984,26702,2097,25126,59,1862,0,235
training,016,35,54567,26000,2416,26089,62,2027,0,389
training,016,36,53990,25757,2384,25803,46,1902,0,482
training,016,37,53940,26578,1703,25616,43,1699,0,4
training,016,38,55011,26793,1632,26541,45,1627,0,5
training,016,39,54868,26962,1678,26191,37,1672,0,6
training,016,40,54845,26780,1711,26322,32,1690,0,21
training,016,41,55095,26531,1708,26816,40,1701,0,7
training,016,42,54525,26420,1775,26296,34,1747,0,28
training,016,43,54374,26299,1897,26134,44,1891,0,6
training,016,44,54943,26084,2123,26693,43,2107,0,16
training,016,45,54594,26131,1846,26568,49,1835,0,11
training,016,46,55322,26143,1642,27494,43,1608,0,34
training,016,47,54734,25778,1671,27235,50,1650,0,21
training,016,48,54406,25186,1748,27405,67,1724,0,24
training,016,49,54953,24718,1758,28425,52,1702,0,56
training,016,50,54351,24608,1611,28060,72,1571,0,40
training,016,51,54212,24245,1595,28311,61,1557,0,38
training,016,52,55007,23764,1668,29513,62,1613,0,55
training,016,53,54578,23495,1762,29268,53,1705,0,57
training,016,54,54403,23272,1763,29319,49,1691,0,72
training,016,55,54945,23258,1696,29939,52,1610,0,86
training,016,56,54476,23279,1501,29651,45,1414,0,87
training,016,57,54498,22965,1410,30080,43,1309,0,101
training,016,58,55293,22395,1444,31401,53,1297,0,147
training,016,59,55043,21731,1424,31821,67,1266,0,158
training,016,60,55073,21084,1396,32511,82,1224,0,172
training,016,61,56121,20294,1369,34376,82,1182,0,187
training,016,62,55536,19297,1337,34823,79,1133,0,204
training,016,63,54513,18370,1316,34743,84,1092,0,224
training,016,64,51404,17641,1285,32387,91,1018,0,267
training,016,65,49144,17424,1378,30252,90,1110,0,268
training,016,66,48972,17247,1425,30183,117,1130,0,295
training,016,67,50166,17264,1395,31350,157,1088,0,307
training,016,68,48847,16988,1393,30288,178,1050,0,343
training,016,69,48538,16790,1288,30223,237,941,0,347
training,016,70,49927,16497,1278,31857,295,872,0,406
training,016,71,49255,16378,1281,31360,236,833,0,448
training,016,72,49634,16130,1409,31895,200,850,0,559
training,016,73,51737,16079,1473,34021,164,836,0,637
training,016,74,51702,16055,1421,34053,173,846,0,575
training,016,75,52672,16363,1115,35025,169,879,0,236
training,016,76,55391,16440,963,37808,180,902,0,61
training,016,77,55414,16443,912,37874,185,887,0,25
training,016,78,58901,16449,802,41545,105,782,0,20
training,016,79,58420,16189,787,41327,117,770,0,17
training,017,0,56347,13301,756,41875,415,712,0,44
training,017,1,56318,13483,784,41631,420,742,0,42
training,017,2,56107,13769,823,41211,304,778,0,45
training,017,3,57254,13944,846,42116,348,796,0,50
training,017,4,55676,14105,866,40435,270,821,0,45
training,017,5,55520,14307,872,39974,367,838,0,34
training,017,6,55394,14547,927,39560,360,884,0,43
training,017,7,56735,14893,965,40483,394,916,0,49
training,017,8,55360,15144,1020,38757,439,972,0,48
training,017,9,55271,15346,1063,38388,474,1017,3,43
training,017,10,55544,15782,1143,38185,434,1075,4,64
training,017,11,56924,15961,1276,39226,461,1214,3,59
training,017,12,55498,16275,1316,37499,408,1258,0,58
training,017,13,55823,16713,1414,37273,423,1353,0,61
training,017,14,56230,17158,1465,37261,346,1408,0,57
training,017,15,58083,17539,1459,38719,366,1422,0,37
training,017,16,57207,17866,1479,37543,319,1445,7,27
training,017,17,57793,18174,1484,37803,332,1453,7,24
training,017,18,58505,18677,1404,37978,446,1369,7,28
training,017,19,60111,19108,1358,39238,407,1312,6,40
training,017,20,59175,18951,1358,38385,481,1298,15,45
training,017,21,58809,18907,1360,38006,536,1321,3,36
training,017,22,56676,19014,1426,35776,460,1392,5,29
training,017,23,56600,18838,1504,35747,511,1434,32,38
training,017,24,54657,18797,1533,33651,676,1444,32,57
training,017,25,53717,18643,1604,32630,840,1488,33,83
training,017,26,53302,18469,1685,32355,793,1554,23,108
training,017,27,54032,18276,1921,33056,779,1718,62,141
training,017,28,53172,18122,2097,32350,603,1934,17,146
training,017,29,54334,18165,1888,34019,262,1693,64,131
training,017,30,55819,18158,1836,35569,256,1652,36,148
training,017,31,55117,18259,1830,34790,238,1587,57,186
training,017,32,54231,18630,1676,33705,220,1354,101,221
training,017,33,53073,18863,1600,32316,294,1221,97,282
training,017,34,52396,19004,1734,31391,267,1224,196,314
training,017,35,50760,19110,1842,29496,312,1216,233,393
training,017,36,50677,19290,1944,29151,292,1183,281,480
training,017,37,51026,19282,2058,29420,266,1176,352,530
training,017,38,52739,19208,2222,31026,283,1174,392,656
training,017,39,53116,19006,2410,31388,312,1204,418,788
training,017,40,54022,18517,2723,32445,337,1303,514,906
training,017,41,54166,18007,2950,32870,339,1349,493,1108
training,017,42,51768,18188,3170,30034,376,1145,682,1343
training,017,43,49645,18439,3378,27406,422,935,769,1674
training,017,44,49326,18659,3770,26299,598,789,967,2014
training,017,45,49994,19270,4263,25938,523,632,1241,2390
training,017,46,51763,19466,5520,26456,321,567,1866,3087
training,017,47,52444,19574,6936,25722,212,367,2750,3819
training,017,48,54327,21267,6441,26417,202,54,1828,4559
training,017,49,55186,22043,6087,26878,178,37,330,5720
training,017,50,55801,20785,6979,27832,205,40,0,6939
training,017,51,54912,19304,8305,27150,153,25,0,8280
training,017,52,55199,17954,9830,27244,171,24,0,9806
training,017,53,55376,18038,10078,27151,109,30,0,10048
training,017,54,56324,18717,9422,28061,124,26,0,9396
training,017,55,55649,19344,8691,27501,113,31,0,8660
training,017,56,55475,19909,7995,27447,124,30,0,7965
training,017,57,55268,20568,6959,27634,107,37,0,6922
training,017,58,55908,20973,5474,29327,134,39,0,5435
training,017,59,54534,21433,3870,29085,146,36,0,3834
training,017,60,54632,23814,1253,29442,123,42,0,1211
training,017,61,55347,25673,118,29417,139,41,0,77
training,017,62,57137,26574,119,30287,157,41,0,78
training,017,63,56192,25954,137,29957,144,52,0,85
training,017,64,55530,24373,170,30852,135,51,0,119
training,017,65,55879,23268,252,32163,196,50,0,202
training,017,66,54688,22711,358,31446,173,46,0,312
training,017,67,55094,22742,472,31723,157,50,0,422
training,017,68,55970,22856,607,32320,187,40,0,567
training,017,69,57551,22419,795,34133,204,48,0,747
training,017,70,56942,20970,1079,34673,220,42,0,1037
training,017,71,56505,18969,1287,36100,149,44,0,1243
training,017,72,56473,17137,1546,37613,177,49,0,1497
training,017,73,57888,16037,1878,39766,207,44,0,1834
training,017,74,57685,15138,2265,40048,234,66,0,2199
training,017,75,58132,13741,2915,41178,298,68,0,2847
training,017,76,58452,11614,3636,42893,309,61,0,3575
training,017,77,59741,9333,4752,45340,316,67,0,4685
training,017,78,58794,7735,6452,44297,310,50,0,6402
training,017,79,58851,8317,6042,44192,300,67,0,5975
training,019,0,65677,22298,5879,37411,89,774,1,5104
training,019,1,65677,22309,5871,37403,94,773,1,5097
training,019,2,62420,19361,4791,38148,120,546,2,4243
training,019,3,61161,19482,1932,39650,97,488,3,1441
training,019,4,61732,20118,2253,39244,117,569,0,1684
training,019,5,65273,21974,3273,39934,92,745,3,2525
training,019,6,65248,22737,4685,37709,117,1079,2,3604
training,019,7,65818,21667,5955,38081,115,888,0,5067
training,019,8,65920,19363,7501,38958,98,477,0,7024
training,019,9,67289,19246,6320,41617,106,587,0,5733
training,019,10,65661,19570,5221,40756,114,788,4,4429
training,019,11,66187,23209,1668,41177,133,1474,0,194
training,019,12,68569,23704,1528,43183,154,1364,0,164
training,019,13,66396,23544,1116,41589,147,918,0,198
training,019,14,65532,22563,1092,41705,172,850,0,242
training,019,15,64023,21943,1130,40781,169,925,5,200
training,019,16,65643,22167,1038,42241,197,984,4,50
training,019,17,63619,22300,1271,39839,209,1212,5,54
training,019,18,63120,22253,1465,39187,215,1391,0,74
training,019,19,62513,22254,1218,38803,238,1131,1,86
training,019,20,64215,22314,919,40711,271,810,0,109
training,019,21,62232,22189,909,38794,340,827,6,76
training,019,22,62506,22356,940,38879,331,932,7,1
training,019,23,62668,22961,1072,38342,293,1068,0,4
training,019,24,64645,23219,1274,39875,277,1263,7,4
training,019,25,63109,23235,1307,38403,164,1299,6,2
training,019,26,63219,23055,1012,39080,72,1004,6,2
training,019,27,63465,22835,819,39771,40,813,0,6
training,019,28,65548,22713,869,41911,55,856,8,5
training,019,29,64431,22920,1006,40451,54,996,4,6
training,019,30,64615,23546,1018,40008,43,1009,7,2
training,019,31,65231,24019,1262,39906,44,1253,6,3
training,019,32,67476,24503,1239,41697,37,1233,0,6
training,019,33,65724,24656,865,40146,57,860,0,5
training,019,34,65445,24134,714,40528,69,707,6,1
training,019,35,64944,23243,766,40882,53,756,5,5
training,019,36,66019,21992,765,43217,45,756,0,9
training,019,37,63776,21424,738,41570,44,728,4,6
training,019,38,61717,21593,808,39254,62,803,3,2
training,019,39,60502,22085,696,37666,55,693,1,2
training,019,40,61016,22295,488,38163,70,469,17,2
training,019,41,58034,21872,469,35603,90,458,8,3
training,019,42,56751,21124,537,35013,77,524,6,7
training,019,43,56130,20846,521,34681,82,494,21,6
training,019,44,55959,21500,710,33663,86,679,20,11
training,019,45,56033,21999,617,33302,115,585,25,7
training,019,46,55317,22493,472,32238,114,433,26,13
training,019,47,56628,22742,511,33253,122,465,31,15
training,019,48,54611,22804,598,31100,109,553,32,13
training,019,49,54203,22746,651,30654,152,608,25,18
training,019,50,53476,22368,679,30261,168,642,17,20
training,019,51,54516,22237,827,31268,184,767,33,27
training,019,52,53067,22370,792,29704,201,724,32,36
training,019,53,52878,23024,651,29014,189,575,31,45
training,019,54,52822,23982,635,27996,209,554,38,43
training,019,55,53984,24578,734,28432,240,633,53,48
training,019,56,52550,24188,834,27269,259,718,45,71
training,019,57,51880,23238,869,27513,260,720,59,90
training,019,58,51306,22470,1030,27604,202,841,80,109
training,019,59,52164,22282,999,28704,179,803,64,132
training,019,60,51480,22164,795,28394,127,583,68,144
training,019,61,51942,22078,831,28836,197,608,65,158
training,019,62,51997,21542,908,29267,280,668,61,179
training,019,63,52440,21013,1038,30137,252,742,97,199
training,019,64,51816,20996,1132,29527,161,824,79,229
training,019,65,52620,21588,1223,29718,91,923,48,252
training,019,66,53828,22320,1227,30213,68,861,95,271
training,019,67,55481,22879,1041,31464,97,673,83,285
training,019,68,53674,22785,1134,29682,73,690,119,325
training,019,69,53384,22561,1266,29482,75,798,125,343
training,019,70,53342,22399,1295,29586,62,779,125,391
training,019,71,54410,22200,1354,30760,96,794,150,410
training,019,72,53918,22149,1603,30086,80,984,204,415
training,019,73,53804,22576,1632,29516,80,994,215,423
training,019,74,53333,22430,1383,29438,82,659,247,477
training,019,75,52861,21129,1409,30224,99,652,195,562
training,019,76,51154,19712,1579,29789,74,692,272,615
training,019,77,51157,19513,1953,29599,92,747,344,862
training,019,78,53084,19889,2240,30855,100,868,366,1006
training,019,79,53084,19831,2265,30868,120,873,378,1014
training,021,0,64404,31725,868,31756,55,862,2,4
training,021,1,64404,31730,872,31742,60,866,2,4
training,021,2,62966,31376,789,30750,51,783,1,5
training,021,3,62945,30298,903,31691,53,895,3,5
training,021,4,62621,29946,813,31798,64,805,4,4
training,021,5,63702,30061,877,32685,79,870,0,7
training,021,6,62327,30669,953,30650,55,950,0,3
training,021,7,62830,31250,855,30666,59,841,11,3
training,021,8,62745,31122,664,30877,82,651,10,3
training,021,9,63883,30387,732,32710,54,716,14,2
training,021,10,62143,29400,768,31901,74,764,0,4
training,021,11,62317,29019,798,32427,73,771,19,8
training,021,12,62400,28992,870,32469,69,860,4,6
training,021,13,63635,29392,780,33388,75,763,10,7
training,021,14,62243,30084,718,31367,74,683,32,3
training,021,15,61991,30443,803,30657,88,786,11,6
training,021,16,63345,31301,869,31092,83,834,12,23
training,021,17,61988,31301,1043,29548,96,1014,17,12
training,021,18,62190,30734,912,30446,98,888,6,18
training,021,19,61556,29568,624,31266,98,591,3,30
training,021,20,62276,28281,692,33174,129,644,37,11
training,021,21,61222,29046,745,31297,134,729,2,14
training,021,22,62388,31185,896,30184,123,839,42,15
training,021,23,63076,31822,1082,30059,113,1030,26,26
training,021,24,64293,30983,916,32295,99,851,46,19
training,021,25,62441,30107,619,31620,95,543,53,23
training,021,26,62129,29068,623,32354,84,593,4,26
training,021,27,62220,28666,730,32740,84,660,35,35
training,021,28,64198,29421,854,33839,84,762,39,53
training,021,29,63491,30869,1008,31545,69,904,50,54
training,021,30,63741,31296,891,31486,68,797,7,87
training,021,31,63550,30418,618,32426,88,504,5,109
training,021,32,63372,28094,639,34553,86,477,50,112
training,021,33,60416,26776,696,32876,68,478,11,207
training,021,34,60868,28214,610,31985,59,521,12,77
training,021,35,62311,30500,634,31121,56,548,60,26
training,021,36,64113,31454,610,31990,59,554,13,43
training,021,37,62595,30555,639,31349,52,553,35,51
training,021,38,61824,29189,665,31926,44,543,66,56
training,021,39,61223,28803,588,31786,46,540,8,40
training,021,40,62602,29071,642,32830,59,543,68,31
training,021,41,61563,29201,655,31648,59,542,69,44
training,021,42,61870,29666,666,31484,54,551,65,50
training,021,43,62451,30376,651,31380,44,552,53,46
training,021,44,63544,30281,637,32592,34,544,44,49
training,021,45,61931,29816,658,31425,32,537,74,47
training,021,46,61431,29990,609,30809,23,536,13,60
training,021,47,63367,30702,653,31991,21,545,64,44
training,021,48,63194,31536,645,30986,27,537,78,30
training,021,49,63477,31943,653,30855,26,556,68,29
training,021,50,63354,31675,651,30982,46,554,54,43
training,021,51,64326,31422,651,32221,32,582,7,62
training,021,52,62754,31277,680,30753,44,590,23,67
training,021,53,62429,31398,709,30282,40,607,31,71
training,021,54,62944,31808,722,30375,39,611,55,56
training,021,55,64940,32129,734,32044,33,608,82,44
