split,sequence,lidar_frame,cam_frame,dt_seconds,frame_valid,n_in_image,n_occluded,n_road_in_image,n_road_occluded,n_marking_in_image,n_marking_occluded,n_other_in_image,n_other_occluded,n_raw8_in_image,n_raw8_occluded,n_raw9_in_image,n_raw9_occluded,n_raw10_in_image,n_raw10_occluded
train,005,17,17,-0.04979586601257324,1,50564,81,16928,21,729,2,32434,56,567,2,0,0,162,0
train,005,18,18,-0.04979991912841797,1,50671,59,16782,17,716,0,32695,41,531,0,0,0,185,0
train,005,19,19,-0.04979991912841797,1,50259,79,16138,16,858,0,32792,61,693,0,0,0,165,0
train,005,20,20,-0.04980611801147461,1,51729,71,15668,10,1041,1,34525,59,900,1,0,0,141,0
train,005,21,21,-0.049807071685791016,1,50450,47,14564,8,1638,0,33737,35,1452,0,0,0,186,0
train,005,22,22,-0.04979896545410156,1,50461,55,15327,9,549,0,34133,44,369,0,0,0,180,0
train,005,23,23,-0.04981684684753418,1,50246,83,15214,20,256,0,34357,60,84,0,0,0,172,0
train,005,24,24,-0.04982495307922363,1,51816,81,14906,14,311,2,36203,64,105,0,0,0,206,2
train,005,25,25,-0.049829959869384766,1,50762,69,14779,12,287,0,35267,57,135,0,0,0,152,0
train,005,26,26,-0.04984307289123535,1,51373,75,15395,20,325,2,35290,51,132,0,0,0,193,2
train,005,27,27,-0.04985499382019043,1,51594,93,16495,27,343,0,34404,55,128,0,0,0,215,0
train,005,28,28,-0.049859046936035156,1,53274,92,17116,17,315,0,35487,73,90,0,0,0,225,0
train,005,29,29,-0.04984617233276367,1,52158,83,17391,9,330,1,34062,68,105,0,0,0,225,1
train,005,30,30,-0.049848079681396484,1,53330,79,18073,12,458,0,34404,67,148,0,0,0,310,0
train,005,31,31,-0.04985499382019043,1,55046,85,17833,12,484,0,36281,72,188,0,0,0,296,0
train,005,32,32,-0.04984092712402344,1,53330,77,16678,9,444,0,35804,66,156,0,0,0,288,0
train,005,33,33,-0.049857139587402344,1,52990,81,15289,15,478,0,36826,63,106,0,0,0,372,0
train,005,34,34,-0.04987215995788574,1,52606,64,14597,8,534,0,37105,56,125,0,0,0,409,0
train,005,35,35,-0.049865007400512695,1,54761,68,15291,11,617,0,38524,54,158,0,0,0,459,0
train,005,36,36,-0.04987192153930664,1,53503,68,16510,8,640,0,35984,59,204,0,0,0,436,0
train,005,37,37,-0.049867868423461914,1,53759,85,17733,13,706,1,34957,69,219,0,0,0,487,1
train,005,38,38,-0.04986095428466797,1,54062,89,18632,20,809,0,34249,64,249,0,0,0,560,0
train,005,39,39,-0.04987192153930664,1,55630,92,18587,10,921,2,35759,80,236,0,0,0,685,2
train,005,40,40,-0.049870967864990234,1,54128,78,17541,7,868,0,35359,65,171,0,0,0,697,0
train,005,41,41,-0.049868106842041016,1,53778,80,15416,9,1053,1,36892,66,224,1,0,0,829,0
train,005,42,42,-0.04986691474914551,1,54341,85,13856,5,1081,2,39051,72,211,0,0,0,870,2
train,005,43,43,-0.049870967864990234,1,53173,94,12936,13,1614,0,38271,77,166,0,0,0,1448,0
train,005,44,44,-0.04987311363220215,1,53805,87,13667,8,1430,0,38347,75,190,0,0,0,1240,0
train,005,45,45,-0.049855947494506836,1,55119,97,14948,11,575,0,39234,84,251,0,0,0,324,0
train,005,46,46,-0.049852848052978516,1,53515,86,14874,12,581,0,37755,69,229,0,0,0,352,0
train,005,47,47,-0.04984402656555176,1,53776,75,14794,13,435,2,38248,58,138,1,0,0,297,1
train,005,48,48,-0.04984092712402344,1,54900,96,14087,9,471,1,40007,81,120,0,0,0,351,1
train,005,49,49,-0.04984402656555176,1,53290,71,12986,12,639,1,39379,57,146,0,0,0,493,1
train,005,50,50,-0.049835205078125,1,53271,91,12286,14,835,0,39907,76,201,0,0,0,634,0
train,005,51,51,-0.0498349666595459,1,54386,116,12500,10,1455,3,40105,101,229,0,0,0,1226,3
train,005,52,52,-0.04983782768249512,1,50827,98,13855,15,406,0,36266,78,236,0,0,0,170,0
train,005,53,53,-0.049835920333862305,1,51155,87,14350,10,133,0,36285,75,133,0,0,0,0,0
train,005,54,54,-0.04983401298522949,1,53162,87,14196,5,147,0,38415,79,143,0,0,0,4,0
train,005,55,55,-0.0498349666595459,1,52015,79,13901,12,211,0,37482,63,209,0,0,0,2,0
train,005,56,56,-0.0498349666595459,1,52498,77,13777,11,225,1,38058,63,217,0,0,0,8,1
train,005,57,57,-0.049832820892333984,1,53681,67,13942,5,159,0,39133,59,151,0,0,0,8,0
train,005,58,58,-0.04983711242675781,1,52319,84,14179,2,137,0,37580,76,133,0,0,0,4,0
train,005,59,59,-0.0498349666595459,1,52191,87,14286,10,153,0,37367,73,153,0,0,0,0,0
train,005,60,60,-0.04982304573059082,1,53586,102,14418,6,175,0,38560,95,173,0,0,0,2,0
train,005,61,61,-0.049826860427856445,1,51949,93,14367,3,226,0,36930,86,226,0,0,0,0,0
train,005,62,62,-0.04982805252075195,1,51824,93,14261,9,257,0,36884,79,253,0,0,0,4,0
train,005,63,63,-0.0498199462890625,1,52764,53,14267,4,117,0,37880,45,117,0,0,0,0,0
train,005,64,64,-0.04982185363769531,1,53017,61,14066,6,144,0,38261,55,134,0,0,0,10,0
train,005,65,65,-0.04982399940490723,1,54300,79,13842,8,206,0,39682,69,202,0,0,0,4,0
train,005,66,66,-0.04982709884643555,1,52876,59,13755,4,227,0,38302,55,221,0,0,0,6,0
train,005,67,67,-0.049818992614746094,1,52659,66,13720,6,147,0,38183,55,135,0,0,0,12,0
train,005,68,68,-0.04981493949890137,1,53961,62,13458,16,129,0,39724,45,119,0,0,0,10,0
train,005,69,69,-0.04983806610107422,1,52650,60,13054,8,212,0,38676,50,200,0,0,0,12,0
train,005,70,70,-0.04982805252075195,1,52759,45,12723,7,204,0,39094,37,194,0,0,0,10,0
train,005,71,71,-0.049816131591796875,1,53823,49,12635,11,108,0,40265,36,100,0,0,0,8,0
train,005,72,72,-0.04982304573059082,1,52785,51,12772,10,104,0,39156,41,99,0,0,0,5,0
train,005,73,73,-0.04982781410217285,1,52850,52,12923,6,152,0,39040,45,143,0,0,0,9,0
train,005,74,74,-0.0498051643371582,1,54189,47,13377,4,180,0,39809,42,172,0,0,0,8,0
train,005,75,75,-0.049809932708740234,1,53615,50,14220,4,190,0,38334,45,180,0,0,0,10,0
train,005,76,76,-0.04982399940490723,1,53827,56,15216,6,144,0,37562,48,137,0,0,0,7,0
train,005,77,77,-0.04982805252075195,1,55432,51,16031,3,70,0,38455,46,61,0,0,0,9,0
train,005,78,78,-0.04981398582458496,1,54388,49,16659,6,79,0,36825,43,67,0,0,0,12,0
train,005,79,79,-0.04983687400817871,1,53150,61,16628,9,77,0,35611,52,65,0,0,0,12,0
train,011,0,0,-0.04982495307922363,1,46719,59,18248,26,2366,0,26048,33,652,0,208,0,1506,0
train,011,1,1,-0.049836158752441406,1,45230,58,18104,23,2344,3,24733,32,659,1,195,0,1490,2
train,011,2,2,-0.04983878135681152,1,44598,50,18210,19,2561,2,23774,29,724,0,252,0,1585,2
train,011,3,3,-0.04984402656555176,1,44625,45,18352,14,2766,1,23451,30,780,0,275,0,1711,1
train,011,4,4,-0.04984903335571289,1,46431,77,18776,21,3115,2,24494,52,800,0,354,0,1961,2
train,011,5,5,-0.049855947494506836,1,46509,64,18866,25,3304,0,24288,39,690,0,418,0,2196,0
train,011,6,6,-0.04985618591308594,1,46797,62,18956,21,3375,1,24423,40,551,0,483,0,2341,1
train,011,7,7,-0.04985690116882324,1,46036,57,18696,18,3671,4,23610,35,551,0,555,0,2565,4
train,011,8,8,-0.04986000061035156,1,46326,62,18660,14,3995,4,23616,44,530,0,778,0,2687,4
train,011,9,9,-0.0498659610748291,1,47324,79,19389,19,3649,4,24239,56,436,0,938,0,2275,4
train,011,10,10,-0.04986906051635742,1,47252,67,19330,23,4124,2,23759,42,344,0,1189,0,2591,2
train,011,11,11,-0.04986405372619629,1,47512,56,18678,16,5186,7,23607,33,189,0,1897,0,3100,7
train,011,12,12,-0.04986691474914551,1,48905,64,19580,16,5219,5,24051,41,21,1,1222,0,3976,4
train,011,13,13,-0.04986691474914551,1,46882,55,20254,8,5072,6,21514,39,27,0,8,0,5037,6
train,011,14,14,-0.04986381530761719,1,46095,53,19573,1,6142,7,20338,43,28,0,3,0,6111,7
train,011,15,15,-0.04985499382019043,1,47121,71,18319,10,7697,0,21059,59,31,0,0,0,7666,0
train,011,16,16,-0.04985785484313965,1,46647,45,15723,6,10634,0,20239,39,31,0,0,0,10603,0
train,011,17,17,-0.049868106842041016,1,46683,50,17549,9,9107,3,19962,36,34,0,0,0,9073,3
train,011,18,18,-0.04986310005187988,1,47134,72,17714,3,8899,6,20469,63,42,0,0,0,8857,6
train,011,19,19,-0.049868106842041016,1,46655,47,18081,5,8378,0,20163,42,44,0,0,0,8334,0
train,011,20,20,-0.04986906051635742,1,46513,31,18411,1,7778,0,20286,30,48,0,0,0,7730,0
train,011,21,21,-0.04985404014587402,1,46647,47,18908,3,7002,0,20707,44,42,0,0,0,6960,0
train,011,22,22,-0.049861907958984375,1,46278,50,20194,7,6122,0,19939,43,53,0,0,0,6069,0
train,011,23,23,-0.0498499870300293,1,46247,44,21392,5,5285,0,19548,39,62,0,0,0,5223,0
train,011,24,24,-0.0498349666595459,1,46985,33,25234,7,1804,2,19920,24,66,0,0,0,1738,2
train,011,25,25,-0.04983997344970703,1,45514,39,25380,0,921,0,19186,39,75,0,0,0,846,0
train,011,26,26,-0.049844980239868164,1,45720,37,25353,0,1000,0,19330,37,79,0,0,0,921,0
train,011,27,27,-0.04983687400817871,1,46726,34,25714,0,1068,0,19909,33,89,0,0,0,979,0
train,011,28,28,-0.04983210563659668,1,46785,27,26033,0,1196,0,19531,27,91,0,0,0,1105,0
train,011,29,29,-0.04982781410217285,1,46829,26,25804,3,1193,0,19798,23,99,0,0,0,1094,0
train,011,30,30,-0.04983115196228027,1,47276,35,25223,3,1369,0,20655,32,105,0,0,0,1264,0
train,011,31,31,-0.049829959869384766,1,46537,33,24696,5,1429,0,20375,28,109,0,0,0,1320,0
train,011,32,32,-0.04982805252075195,1,46213,35,24037,7,1577,1,20557,27,116,0,0,0,1461,1
train,011,33,33,-0.04981493949890137,1,46839,43,23459,8,1738,0,21600,35,114,0,0,0,1624,0
train,011,34,34,-0.049818992614746094,1,46289,39,22974,7,1881,0,21396,32,133,0,0,0,1748,0
train,011,35,35,-0.04981493949890137,1,46331,37,22668,4,2138,0,21496,33,135,0,0,0,2003,0
train,011,36,36,-0.049820899963378906,1,46412,40,21808,0,2445,0,22110,40,147,0,0,0,2298,0
train,011,37,37,-0.0498199462890625,1,48223,55,20116,3,3674,0,24397,52,187,0,0,0,3487,0
train,011,38,38,-0.049832820892333984,1,48518,74,17846,2,4355,0,26264,72,198,0,0,0,4157,0
train,011,39,39,-0.049839019775390625,1,47637,46,15690,2,5234,2,26683,42,253,0,0,0,4981,2
train,011,40,40,-0.04984593391418457,1,47624,45,14256,3,5878,0,27438,42,330,0,0,0,5548,0
train,011,41,41,-0.049845218658447266,1,49071,63,10933,1,8579,1,29532,61,413,0,0,0,8166,1
train,011,42,42,-0.04984307289123535,1,48362,47,13047,2,6020,0,29262,45,541,0,0,0,5479,0
train,011,43,43,-0.049835920333862305,1,47461,48,13151,5,5604,0,28684,43,575,0,0,0,5029,0
train,011,44,44,-0.04983711242675781,1,47988,79,13113,2,4838,1,30004,76,611,1,0,0,4227,0
train,011,45,45,-0.04984116554260254,1,46065,60,12885,2,4123,0,29015,57,651,0,0,0,3472,0
train,011,46,46,-0.04982590675354004,1,45160,55,12496,3,3872,0,28772,52,747,0,0,0,3125,0
train,011,47,47,-0.04981708526611328,1,45636,61,15228,4,974,0,29389,57,839,0,0,0,135,0
train,011,48,48,-0.049829959869384766,1,45594,25,15506,4,1027,0,29033,21,894,0,0,0,133,0
train,011,49,49,-0.049829959869384766,1,46030,38,15919,5,1118,0,28952,33,958,0,0,0,160,0
train,011,50,50,-0.049813032150268555,1,46806,33,16262,2,1047,0,29455,31,904,0,0,0,143,0
train,011,51,51,-0.04981422424316406,1,46384,51,16183,6,846,0,29323,45,819,0,0,0,27,0
train,011,52,52,-0.04982280731201172,1,45234,49,15776,6,836,0,28591,43,806,0,0,0,30,0
train,011,53,53,-0.04983210563659668,1,45608,43,15327,8,825,0,29419,35,786,0,0,0,39,0
train,011,54,54,-0.04982709884643555,1,44800,41,14880,1,880,0,29004,40,838,0,0,0,42,0
train,011,55,55,-0.049835920333862305,1,44653,27,14632,5,896,0,29097,22,854,0,0,0,42,0
train,011,56,56,-0.04984092712402344,1,45310,30,14799,0,766,0,29707,30,766,0,0,0,0,0
train,011,57,57,-0.04984092712402344,1,45605,42,15150,3,751,0,29669,39,751,0,0,0,0,0
train,011,58,58,-0.049855947494506836,1,46362,43,15528,3,787,0,30012,40,787,0,0,0,0,0
train,011,59,59,-0.04986381530761719,1,47347,40,15609,3,791,0,30913,37,791,0,0,0,0,0
train,011,60,60,-0.04986405372619629,1,47037,44,15371,7,823,0,30804,37,823,0,0,0,0,0
train,011,61,61,-0.04986000061035156,1,46973,38,15199,3,795,0,30932,35,795,0,0,0,0,0
train,011,62,62,-0.04986000061035156,1,48460,75,15294,1,688,0,32375,74,688,0,0,0,0,0
train,011,63,63,-0.049861907958984375,1,47242,45,15495,2,684,0,30884,43,684,0,0,0,0,0
train,011,64,64,-0.04985690116882324,1,46769,52,15512,2,708,0,30340,50,708,0,0,0,0,0
train,011,65,65,-0.049859046936035156,1,47579,70,15192,7,736,0,31366,63,736,0,0,0,0,0
train,011,66,66,-0.049859046936035156,1,46428,51,14706,0,796,0,30882,51,796,0,0,0,0,0
train,011,67,67,-0.049865007400512695,1,45977,45,14516,5,733,0,30688,40,733,0,0,0,0,0
train,011,68,68,-0.04987287521362305,1,46451,62,14487,2,688,0,31232,60,688,0,0,0,0,0
train,011,69,69,-0.04986906051635742,1,49180,65,15682,5,886,0,32559,60,886,0,0,0,0,0
train,011,70,70,-0.049867868423461914,1,50690,61,16271,3,972,0,33396,58,972,0,0,0,0,0
train,011,71,71,-0.04987287521362305,1,51031,51,16847,2,1032,0,33114,49,1032,0,0,0,0,0
train,011,72,72,-0.04987311363220215,1,51050,56,17295,5,988,0,32730,51,988,0,0,0,0,0
train,011,73,73,-0.0498661994934082,1,51785,55,17248,2,918,0,33574,53,918,0,0,0,0,0
train,011,74,74,-0.049857139587402344,1,50608,59,16761,3,898,0,32914,56,898,0,0,0,0,0
train,011,75,75,-0.0498499870300293,1,49736,53,16080,5,891,0,32732,47,891,0,0,0,0,0
train,011,76,76,-0.04985213279724121,1,49378,53,15554,3,942,0,32833,50,942,0,0,0,0,0
train,011,77,77,-0.04984021186828613,1,48725,53,15574,3,904,0,32215,50,904,0,0,0,0,0
train,011,78,78,-0.049829959869384766,1,48870,52,16044,5,812,0,31974,47,812,0,0,0,0,0
train,011,79,79,-0.049822092056274414,1,44668,63,15324,15,740,0,28564,48,740,0,0,0,0,0
train,016,0,0,-0.04986906051635742,1,48019,52,24580,8,753,0,22520,44,682,0,0,0,71,0
train,016,1,1,-0.04986906051635742,1,47193,32,24497,13,841,0,21767,19,745,0,0,0,96,0
train,016,2,2,-0.049859046936035156,1,47104,26,24721,8,921,0,21391,18,815,0,0,0,106,0
train,016,3,3,-0.049855947494506836,1,47973,31,24971,7,1239,0,21704,24,1086,0,0,0,153,0
train,016,4,4,-0.04984903335571289,1,47806,22,25533,5,1326,0,20872,17,1087,0,0,0,239,0
train,016,5,5,-0.04983997344970703,1,47811,20,25976,2,1260,0,20490,18,932,0,0,0,328,0
train,016,6,6,-0.049839019775390625,1,48458,21,26227,1,1231,1,20902,19,894,1,0,0,337,0
train,016,7,7,-0.04983210563659668,1,48017,20,26049,0,1390,0,20495,20,1034,0,0,0,356,0
train,016,8,8,-0.04982495307922363,1,47633,39,25734,5,1619,0,20203,34,1181,0,0,0,438,0
train,016,9,9,-0.049818992614746094,1,47705,30,24892,10,1993,0,20740,18,1425,0,0,0,568,0
train,016,10,10,-0.04981184005737305,1,47062,47,24182,12,2302,0,20501,34,1580,0,0,0,722,0
train,016,11,11,-0.04980897903442383,1,46869,38,24822,8,1752,1,20217,29,1693,1,0,0,59,0
train,016,12,12,-0.04981589317321777,1,47954,34,25838,2,1601,0,20447,31,1569,0,0,0,32,0
train,016,13,13,-0.04982185363769531,1,50536,23,28040,9,1596,0,20833,14,1533,0,0,0,63,0
train,016,14,14,-0.04981803894042969,1,50488,21,27301,3,1583,0,21540,17,1527,0,0,0,56,0
train,016,15,15,-0.049813032150268555,1,49257,27,26457,4,1635,0,21107,23,1577,0,0,0,58,0
train,016,16,16,-0.04981589317321777,1,48418,18,26179,3,1586,1,20603,13,1525,1,0,0,61,0
train,016,17,17,-0.049822092056274414,1,48995,28,26231,4,1730,2,20975,22,1675,2,0,0,55,0
train,016,18,18,-0.04980921745300293,1,48792,35,26294,7,1839,3,20619,25,1812,3,0,0,27,0
train,016,19,19,-0.04979991912841797,1,49025,37,26527,10,1805,3,20628,24,1781,3,0,0,24,0
train,016,20,20,-0.049800872802734375,1,49772,44,26563,8,1635,0,21519,36,1615,0,0,0,20,0
train,016,21,21,-0.04980802536010742,1,49293,39,26575,14,1506,1,21162,24,1491,1,0,0,15,0
train,016,22,22,-0.04981589317321777,1,48628,32,26364,7,1522,0,20693,24,1512,0,0,0,10,0
train,016,23,23,-0.04982399940490723,1,49122,43,26064,10,1515,1,21497,32,1502,1,0,0,13,0
train,016,24,24,-0.049836158752441406,1,47875,56,25846,10,1526,0,20455,45,1514,0,0,0,12,0
